,params,fitness,best_route,duration
23,"{'population_size': 1000, 'generations': 800, 'elite_size': 5, 'tournament_size': 40, 'mutation_rate': 0.02, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012391573729863693,"[ 9 40 19 88 50 11 43 53 41 98 63  7 24 89 87 49  6 57 83 86 55 99 26 81
 94 25 47 52 15 62 74 73 44 51 84 33 92 66 54 75 45 22 68 64 72 79 10 80
  3 48 93  1 20 71 78 39 76 67 18 31 61 60 30 16 96  8 65 32 69 77 58 28
 12 27 37 91 17 29  2 46 36 70 21 90 23  5 42 97 95 82 38 14 59 35  0 56
 13  4 85 34  9]",15.325571775436401
24,"{'population_size': 700, 'generations': 800, 'elite_size': 10, 'tournament_size': 40, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012376237623762376,"[92 45 75  1 20 22 68 64 72 79 10 80 17 29  3 48 93 71 78 39 76 67 18 31
 61 60 30 16 96  8 65 32 69 77 58 28 12 27 37 91  2 46 36 70 21 90 23  5
 89 42 97 95 82 38 14 59 35  0 56 13  4 85 34 19 40  9 88 50 11 43 53 41
 98 63  7 24 87 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44 84
 51 66 54 33 92]",10.898734092712402
25,"{'population_size': 700, 'generations': 800, 'elite_size': 5, 'tournament_size': 40, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012360939431396785,"[63  7 24 89 87 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44 51
 84 66 92 33 54 75 45 22 68 64 72 79 10 80 17 29 48 93 71  1 20 78 39 76
 67 18 31 61 60 30 16 96  8 65 32 69 77 58 28 12  3 27 37 91  2 46 36 70
 21 90 23  5 42 97 95 82 38 14 59 35  0 56 13  4 85 34 19 40  9 88 50 11
 43 53 41 98 63]",10.68023419380188
26,"{'population_size': 700, 'generations': 800, 'elite_size': 10, 'tournament_size': 20, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012360939431396785,"[20 67 18 31 61 60 30 16 96  8 65 32 69 77 58 28 12 27 37 91  2 46 36 70
 21 90 23  5 42 97 95 82 59 35  0 56 13  4 85 34 40 19  9 88 50 11 43 53
 41 98 63  7 24 89 87 38 14 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62
 74 73 44 84 51 92 33 66 54 75 45 22 68 64 72 79 10 80 17 29  3 48 93 71
 78 39 76  1 20]",10.28821587562561
27,"{'population_size': 1000, 'generations': 800, 'elite_size': 5, 'tournament_size': 40, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012360939431396785,"[98 63  7 24 89 87 14 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62 74 73
 44 84 51 66 33 92 54 75 45 22 68 64 72 79 27 37 91 10 80 17  3 12 28 48
 93  1 20 71 78 39 76 67 18 31 61 60 30 16 96  8 65 32 69 77 58 29  2 46
 36 70 21 90 23  5 42 97 95 82 38 59 35  0 56 13  4 85 34 19 40  9 88 50
 11 43 53 41 98]",15.390726089477539
28,"{'population_size': 1000, 'generations': 800, 'elite_size': 20, 'tournament_size': 40, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012360939431396785,"[43 53 19 87 38 14 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44
 84 51 66 54 92 33 45 75  1 20 22 68 64 72 79 10 80 17 91 27 37 48 93 71
 78 39 76 67 18 31 61 60 30 16 96  8 65 32 69 77 58 28 12  3 29  2 46 36
 70 21 41 98 63  7 24 90 23  5 89 42 97 95 82 59 35  0 56 13  4 85 34  9
 40 88 11 50 43]",15.168673992156982
29,"{'population_size': 1000, 'generations': 800, 'elite_size': 30, 'tournament_size': 40, 'mutation_rate': 0.02, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012360939431396785,"[18 31 61 60 30 16 96  8 65 32 69 77 58 29  2 46 36 70 21  7 24 90 23  5
 89 42 97 95 82 38 14 59 35  0 56 13  4 85 34  9 40 19 88 50 11 43 53 41
 98 63 87 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44 84 51 66
 54 75 92 33 45  1 20 22 68 64 72 79 10 80 17 91 37 27  3 12 28 48 93 71
 78 39 76 67 18]",15.050227880477905
30,"{'population_size': 1000, 'generations': 1200, 'elite_size': 30, 'tournament_size': 20, 'mutation_rate': 0.02, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012360939431396785,"[40 19 88 50 11 43 53 41 98 63 87 14 49  6 57 83 86 55 99 26 81 94 25 47
 52 15 62 74 73 44 51 84 33 92 66 54 75 45 22 48 93 71 78 39 76 20  1 67
 18 31 61 60 30 16 96  8 65 32 69 77 58 28 12  3 27 37 68 64 72 79 10 80
 91 17 29  2 46 36 70 21  7 24 90 23  5 89 42 97 95 82 38 59 35  0 56 13
  4 85 34  9 40]",22.439857006072998
31,"{'population_size': 700, 'generations': 800, 'elite_size': 30, 'tournament_size': 40, 'mutation_rate': 0.02, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012345679012345679,"[14 49 57  6 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44 51 84 66 33 92
 75 54 45 22 68 64 72 79 27 37 48 93 71 20  1 78 39 76 67 18 31 61 60 30
 16 96  8 65 32 69 77 58 28 12  3 91 80 10 17 29  2 46 36 70 21 90 23  5
 42 97 95 82 59 35  0 56 13  4 85 34 19 40  9 50 11 88 43 53 41 98 63  7
 24 89 87 38 14]",10.629988670349121
32,"{'population_size': 1000, 'generations': 1200, 'elite_size': 5, 'tournament_size': 25, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012345679012345679,"[43 98 63 41 53 19 87 38 14 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62
 74 73 44 84 51 66 33 92 45 75 54  1 20 22 48 93 71 78 39 76 67 18 31 61
 60 30 16 96  8 65 32 69 77 58 28 12  3 27 37 68 64 72 79 10 80 91 17 29
  2 46 36 70 21  7 24 90 23  5 89 42 97 95 82 59 35  0 56 13  4 85 34  9
 40 88 50 11 43]",22.816000938415527
33,"{'population_size': 500, 'generations': 800, 'elite_size': 30, 'tournament_size': 25, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012330456226880395,"[24  7 63 98 41 43 53 88 50 11  9 40 19 34 85  4  0 56 13 82 95 97 42  5
 23 89 87 35 59 38 14 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62 74 73
 44 51 66 54 75 45 92 33 84 93 48 27 37 91 17 80 10 79 72 64 68 22 20  1
 71 78 39 76 67 18 31 61 60 30 16 96  8 65 32 69 77 58 28 12  3 29  2 46
 36 70 21 90 24]",7.128005027770996
34,"{'population_size': 500, 'generations': 1200, 'elite_size': 20, 'tournament_size': 25, 'mutation_rate': 0.02, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012330456226880395,"[55 99 26 81 94 25 47 52 15 62 74 73 44 84 51 66 54 75 45 92 33 18 76 78
 71 39 93 48 27 37 91 17 80 10 79 72 64 68 22 20  1 67 31 61 60 30 16 96
  8 65 32 69 77 58 28 12  3 29  2 46 36 70 21 90 42 97 95 82 59 35  0 56
 13  4 85 34  9 40 19 88 50 11 43 53 41 98 63  7 24 23  5 89 87 38 14 49
 57  6 83 86 55]",10.961004972457886
35,"{'population_size': 1000, 'generations': 1200, 'elite_size': 20, 'tournament_size': 20, 'mutation_rate': 0.02, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012330456226880395,"[ 5 89 42 97 95 82 59 35  0 56 13  4 85 34  9 40 19 88 50 11 43 53 87 38
 14 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44 84 51 66 92 33
 54 75 45 22 48 93 71  1 20 78 39 76 67 18 31 61 60 30 16 96  8 65 32 69
 77 58 28 12  3 27 37 68 64 72 79 10 80 91 17 29  2 46 36 70 21  7 41 98
 63 24 90 23  5]",22.652251958847046
36,"{'population_size': 200, 'generations': 600, 'elite_size': 10, 'tournament_size': 20, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012315270935960591,"[40 34 85  4  0 56 13 35 59 38 14 82 95 97 42  5 23 89 87 49  6 57 83 86
 55 99 26 81 94 25 47 52 15 62 16 96  8 93 48 27 37 91 17 80 10 79 72 64
 68 22 20  1 71 78 39 76 67 18 31 61 74 73 44 51 66 54 75 45 92 33 84 60
 30 65 32 69 77 58 28 12  3 29  2 46 36 70 21 90 24  7 63 98 41 43 53 19
 88 50 11  9 40]",2.2100987434387207
37,"{'population_size': 700, 'generations': 1200, 'elite_size': 20, 'tournament_size': 20, 'mutation_rate': 0.02, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012315270935960591,"[50 43 53 88 19 87 14 49 57  6 83 86 55 99 26 81 94 25 47 52 15 62 74 73
 44 84 51 66 33 92 54 75 45 22 68 64 72 79 10 80 48 93 71 20  1 78 39 76
 67 18 31 61 60 30 16 96  8 65 32 69 77 58 28 12  3 27 37 91 17 29  2 46
 36 70 21 41 98 63  7 24 90 23  5 89 42 97 95 82 38 59 35  0 56 13  4 85
 34  9 40 11 50]",15.849207162857056
38,"{'population_size': 1000, 'generations': 200, 'elite_size': 10, 'tournament_size': 25, 'mutation_rate': 0.02, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012315270935960591,"[19 40  9 88 50 11 43 53 41 98 63 87 49  6 57 83 86 55 99 26 81 94 25 47
 52 15 62 74 73 44 84 51 66 92 33 54 75 45 22 68 64 72 79 10 80 17 29 48
 93 71 20  1 78 39 76 67 18 31 61 60 30 16 96  8 65 32 69 77 58 28 12  3
 27 37 91  2 46 36 70 21  7 24 90 23  5 89 42 97 95 82 38 14 59 35  0 56
 13  4 85 34 19]",3.856632947921753
39,"{'population_size': 1000, 'generations': 600, 'elite_size': 5, 'tournament_size': 25, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012315270935960591,"[29  2 46 36 70 21 90 42 97 95 82 59 35  0 56 13  4 85 34 19 40  9 88 50
 11 43 53 41 98 63  7 24 23  5 89 87 38 14 49  6 57 83 86 55 99 26 81 94
 25 47 52 15 62 74 73 44 84 54 75 45 92 33 66 51  1 20 22 68 64 72 79 10
 80 17 91 27 37 48 93 71 78 39 76 67 18 31 61 60 30 16 96  8 65 32 69 77
 58 28 12  3 29]",11.215376853942871
40,"{'population_size': 1000, 'generations': 800, 'elite_size': 10, 'tournament_size': 25, 'mutation_rate': 0.02, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012315270935960591,"[24 89 87 14 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44 51 66
 92 33 84 54 75 45  1 20 22 68 64 72 79 10 80 17 91 27 37  3 12 28 48 93
 71 78 39 76 67 18 31 61 60 30 16 96  8 65 32 69 77 58 29  2 46 36 70 21
 90 23  5 42 97 95 82 38 59 35  0 56 13  4 85 34 19  9 40 88 50 11 43 53
 41 98 63  7 24]",15.597193241119385
41,"{'population_size': 1000, 'generations': 1200, 'elite_size': 10, 'tournament_size': 40, 'mutation_rate': 0.02, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012315270935960591,"[92 66 54 75 45 22 68 64 72 79 10 80 17 91 48 93 71  1 20 78 39 76 67 18
 31 61 60 30 16 96  8 65 32 69 77 58 28 12  3 27 37 29  2 46 36 70 21  7
 24 90 23  5 89 42 97 95 82 38 14 59 35  0 56 13  4 85 34 19 40  9 88 50
 11 43 53 41 98 63 87 49 57  6 83 86 55 99 26 81 94 25 47 52 15 62 74 73
 44 84 51 33 92]",23.40408205986023
42,"{'population_size': 1000, 'generations': 1200, 'elite_size': 20, 'tournament_size': 40, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012315270935960591,"[88 43 53 41 63 98 50 11  9 19 87 14 49  6 57 83 86 55 99 26 81 94 25 47
 52 15 62 74 73 44 84 51 92 33 66 54 75 45 22 93 71 78 39 76  1 20 67 18
 31 61 60 30 16 96  8 65 32 69 77 58 28 12 48  3 27 37 68 64 72 79 10 80
 91 17 29  2 46 36 70 21  7 24 90 23  5 89 42 97 95 82 38 59 35  0 56 13
  4 85 34 40 88]",22.391007900238037
43,"{'population_size': 500, 'generations': 600, 'elite_size': 10, 'tournament_size': 25, 'mutation_rate': 0.02, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012300123001230013,"[45 22 68 64 72 79 10 80 27 37 48 93  1 20 71 78 39 76 67 18 31 61 60 30
 16 96  8 65 32 69 77 58 28 12  3 91 17 29  2 46 36 70 21  7 24 90 23  5
 89 42 97 95 82 38 14 59 35  0 56 13  4 85 34 19 40  9 11 50 88 43 53 41
 98 63 87 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44 84 51 66
 92 33 54 75 45]",5.713640928268433
